gene	report_path	if_candidate	hpa_images_found	hpa_location	hpa_subcell_url	hpa_image_urls	hpa_error	pae_candidate	pae_url	pae_error	changed	applied
NHSL1	detail/nuclear-envelope/NHSL1/NHSL1-evaluation.md	True	6	Nuclear membrane (approved)	https://www.proteinatlas.org/ENSG00000135540-NHSL1/subcellular	https://images.proteinatlas.org/29967/739_G3_1_red_green.jpg;https://images.proteinatlas.org/29967/739_G3_3_red_green.jpg;https://images.proteinatlas.org/29967/742_B10_1_red_green.jpg;https://images.proteinatlas.org/29967/742_B10_2_red_green.jpg;https://images.proteinatlas.org/29967/753_G3_1_red_green.jpg;https://images.proteinatlas.org/29967/753_G3_2_red_green.jpg		False			True	True
NOPCHAP1	detail/nuclear-envelope/NOPCHAP1/NOPCHAP1-evaluation.md	True	6	Nucleoplasm (approved)	https://www.proteinatlas.org/ENSG00000151131-NOPCHAP1/subcellular	https://images.proteinatlas.org/38722/431_A9_1_red_green.jpg;https://images.proteinatlas.org/38722/431_A9_2_red_green.jpg;https://images.proteinatlas.org/38722/437_A9_1_red_green.jpg;https://images.proteinatlas.org/38722/437_A9_2_red_green.jpg;https://images.proteinatlas.org/38722/443_A9_1_red_green.jpg;https://images.proteinatlas.org/38722/443_A9_2_red_green.jpg		False			True	True
AP5Z1	detail/nuclear-speckle/AP5Z1/AP5Z1-evaluation.md	True	6	Nuclear speckles (supported)	https://www.proteinatlas.org/ENSG00000242802-AP5Z1/subcellular	https://images.proteinatlas.org/35693/605_F9_1_red_green.jpg;https://images.proteinatlas.org/35693/605_F9_2_red_green.jpg;https://images.proteinatlas.org/35693/606_F9_1_red_green.jpg;https://images.proteinatlas.org/35693/606_F9_2_red_green.jpg;https://images.proteinatlas.org/35693/608_F9_1_red_green.jpg;https://images.proteinatlas.org/35693/608_F9_2_red_green.jpg		False			True	True
ARMCX5	detail/nuclear-speckle/ARMCX5/ARMCX5-evaluation.md	True	6	Nuclear speckles (approved)	https://www.proteinatlas.org/ENSG00000125962-ARMCX5/subcellular	https://images.proteinatlas.org/996/53_A9_1_red_green.jpg;https://images.proteinatlas.org/996/53_A9_2_red_green.jpg;https://images.proteinatlas.org/996/54_A9_1_red_green.jpg;https://images.proteinatlas.org/996/54_A9_2_red_green.jpg;https://images.proteinatlas.org/996/55_A9_1_red_green.jpg;https://images.proteinatlas.org/996/55_A9_2_red_green.jpg		False			True	True
BEND5	detail/nuclear-speckle/BEND5/BEND5-evaluation.md	True	6	Nuclear speckles (approved)	https://www.proteinatlas.org/ENSG00000162373-BEND5/subcellular	https://images.proteinatlas.org/54347/1057_G11_3_red_green.jpg;https://images.proteinatlas.org/54347/1057_G11_4_red_green.jpg;https://images.proteinatlas.org/54347/1391_C5_2_red_green.jpg;https://images.proteinatlas.org/54347/1391_C5_3_red_green.jpg;https://images.proteinatlas.org/54347/1817_G1_1_red_green.jpg;https://images.proteinatlas.org/54347/1817_G1_2_red_green.jpg		False			True	True
BMP2K	detail/nuclear-speckle/BMP2K/BMP2K-evaluation.md	True	6	Nuclear speckles (supported)	https://www.proteinatlas.org/ENSG00000138756-BMP2K/subcellular	https://images.proteinatlas.org/26451/604_H1_1_red_green.jpg;https://images.proteinatlas.org/26451/604_H1_2_red_green.jpg;https://images.proteinatlas.org/26451/607_H1_4_red_green.jpg;https://images.proteinatlas.org/26451/607_H1_5_red_green.jpg;https://images.proteinatlas.org/26451/609_H1_1_red_green.jpg;https://images.proteinatlas.org/26451/609_H1_2_red_green.jpg		False			True	True
BRK1	detail/nuclear-speckle/BRK1/BRK1-evaluation.md	True	6	Nuclear speckles (approved)	https://www.proteinatlas.org/ENSG00000254999-BRK1/subcellular	https://images.proteinatlas.org/60391/1018_E12_1_red_green.jpg;https://images.proteinatlas.org/60391/1018_E12_2_red_green.jpg;https://images.proteinatlas.org/60391/1226_C3_1_red_green.jpg;https://images.proteinatlas.org/60391/1226_C3_2_red_green.jpg;https://images.proteinatlas.org/60391/1579_E1_1_red_green.jpg;https://images.proteinatlas.org/60391/1579_E1_2_red_green.jpg		False			True	True
ALG14	detail/nucleolus/ALG14/ALG14-evaluation.md	True	4	Nucleoli (approved)	https://www.proteinatlas.org/ENSG00000172339-ALG14/subcellular	https://images.proteinatlas.org/31829/372_F5_1_red_green.jpg;https://images.proteinatlas.org/31829/372_F5_2_red_green.jpg;https://images.proteinatlas.org/31829/374_F5_1_red_green.jpg;https://images.proteinatlas.org/31829/374_F5_2_red_green.jpg		False			True	True
ALKBH4	detail/nucleolus/ALKBH4/ALKBH4-evaluation.md	True	0		https://www.proteinatlas.org/ENSG00000160993-ALKBH4/subcellular			False			False	False
ANAPC11	detail/nucleolus/ANAPC11/ANAPC11-evaluation.md	True	6	Nucleoplasm (enhanced)	https://www.proteinatlas.org/ENSG00000141552-ANAPC11/subcellular	https://images.proteinatlas.org/21989/187_F12_1_red_green.jpg;https://images.proteinatlas.org/21989/187_F12_2_red_green.jpg;https://images.proteinatlas.org/21989/188_F12_1_red_green.jpg;https://images.proteinatlas.org/21989/188_F12_2_red_green.jpg;https://images.proteinatlas.org/21989/246_F12_1_red_green.jpg;https://images.proteinatlas.org/21989/246_F12_2_red_green.jpg		False			True	True
ANKEF1	detail/nucleolus/ANKEF1/ANKEF1-evaluation.md	True	6	Nucleoli fibrillar center (approved)	https://www.proteinatlas.org/ENSG00000132623-ANKEF1/subcellular	https://images.proteinatlas.org/41151/484_B4_1_blue_red_green.jpg;https://images.proteinatlas.org/41151/484_B4_2_blue_red_green.jpg;https://images.proteinatlas.org/41151/492_B4_3_blue_red_green.jpg;https://images.proteinatlas.org/41151/492_B4_4_blue_red_green.jpg;https://images.proteinatlas.org/41151/836_B12_1_blue_red_green.jpg;https://images.proteinatlas.org/41151/836_B12_2_blue_red_green.jpg		False			True	True
ANKS6	detail/nucleolus/ANKS6/ANKS6-evaluation.md	True	6	Nucleoli fibrillar center (approved)	https://www.proteinatlas.org/ENSG00000165138-ANKS6/subcellular	https://images.proteinatlas.org/8355/2146_D10_13_blue_red_green.jpg;https://images.proteinatlas.org/8355/2146_D10_59_blue_red_green.jpg;https://images.proteinatlas.org/8355/2151_F6_33_blue_red_green.jpg;https://images.proteinatlas.org/8355/2151_F6_46_blue_red_green.jpg;https://images.proteinatlas.org/8355/2168_F12_119_blue_red_green.jpg;https://images.proteinatlas.org/8355/2168_F12_22_blue_red_green.jpg		False			True	True
AOPEP	detail/nucleolus/AOPEP/AOPEP-evaluation.md	True	6	Cell Junctions (approved)	https://www.proteinatlas.org/ENSG00000148120-AOPEP/subcellular	https://images.proteinatlas.org/72729/1501_C5_2_blue_red_green.jpg;https://images.proteinatlas.org/72729/1501_C5_3_blue_red_green.jpg;https://images.proteinatlas.org/72729/1522_C5_1_blue_red_green.jpg;https://images.proteinatlas.org/72729/1522_C5_3_blue_red_green.jpg;https://images.proteinatlas.org/72729/1576_H2_1_blue_red_green.jpg;https://images.proteinatlas.org/72729/1576_H2_2_blue_red_green.jpg		False			True	True
