gene	has_hpa_url	hpa_urls	local_imgs	total_img_tags	broken	broken_srcs
CCDC66	True	https://images.proteinatlas.org/44185/2121_F3_43_selected.jpg		1	False	
CCDC74A	True	https://images.proteinatlas.org/46284/765_G5_3_selected.jpg		1	False	
CCDC74B	True	https://images.proteinatlas.org/46284/765_G5_3_selected.jpg		1	False	
CCDC88A	False			0	False	
CCDC88B	True	https://images.proteinatlas.org/26652/249_H4_1_selected.jpg		1	False	
CCDC92	True	https://images.proteinatlas.org/57580/1592_E4_3_selected.jpg		1	False	
CCNF	False			0	False	
CCNO	False			0	False	
CCP110	False			0	False	
CD163L1	True	https://images.proteinatlas.org/15663/1183_C10_2_selected.jpg		1	False	
CD226	False			0	False	
CD2AP	False			0	False	
CD86	False			0	False	
CDC45	False			0	False	
CDIP1	True	https://images.proteinatlas.org/49352/785_D12_5_selected.jpg		1	False	
CDK2	False			0	False	
CDK5RAP2	False			0	False	
CDKL2	True	https://images.proteinatlas.org/40672/413_D9_2_selected.jpg		1	False	
CDKN1B	False			0	False	
CENPJ	False			0	False	
CENPU	True	https://images.proteinatlas.org/22048/192_E2_1_selected.jpg		1	False	
CEP112	True	https://images.proteinatlas.org/69724/1806_C6_3_selected.jpg		1	False	
CEP128	True	https://images.proteinatlas.org/5846/2100_D6_1_selected.jpg		1	False	
CEP131	True	https://images.proteinatlas.org/24019/2165_B5_54_selected.jpg		1	False	
CEP152	True	https://images.proteinatlas.org/39408/491_C1_1_selected.jpg		1	False	
CEP162	True	https://images.proteinatlas.org/30170/270_H6_1_selected.jpg		1	False	
CEP164	False			0	False	
CEP170	True	https://images.proteinatlas.org/45597/1000_F7_2_selected.jpg		1	False	
CEP170B	True	https://images.proteinatlas.org/1773/1891_E2_1_cr5b8d15002f180_selected.jpg		1	False	
CEP19	True	https://images.proteinatlas.org/71138/1487_D12_1_selected.jpg		1	False	
CEP192	False			0	False	
CEP20	True	https://images.proteinatlas.org/40599/494_H10_1_selected.jpg		1	False	
CEP250	True	https://images.proteinatlas.org/69380/1849_H10_31_selected.jpg		1	False	
CEP290	False			0	False	
CEP350	True	https://images.proteinatlas.org/30845/789_B2_5_selected.jpg		1	False	
CEP43	True	https://images.proteinatlas.org/71876/1406_B3_7_selected.jpg		1	False	
CEP55	False			0	False	
CEP57	True	https://images.proteinatlas.org/66403/2034_E1_4_selected.jpg		1	False	
CEP63	False			0	False	
CEP68	True	https://images.proteinatlas.org/40493/2165_G3_7_selected.jpg		1	False	
CEP70	True	https://images.proteinatlas.org/36941/408_D5_2_selected.jpg		1	False	
CEP72	False			0	False	
CEP85	True	https://images.proteinatlas.org/28252/281_B3_2_selected.jpg		1	False	
CEP89	True	https://images.proteinatlas.org/39382/539_C1_1_selected.jpg		1	False	
CEP95	True	https://images.proteinatlas.org/61371/1171_A3_4_selected.jpg		1	False	
CEP97	False			0	False	
CETN2	False			0	False	
CETN3	True	https://images.proteinatlas.org/63704/1152_B2_1_selected.jpg		1	False	
CFAP298	True	https://images.proteinatlas.org/18453/2124_D9_66_selected.jpg		1	False	
CFAP300	True	https://images.proteinatlas.org/38585/2165_H5_45_selected.jpg		1	False	
CFAP418	True	https://images.proteinatlas.org/24198/263_F6_2_selected.jpg		1	False	
CFAP52	True	https://images.proteinatlas.org/23247/216_G1_2_selected.jpg		1	False	
CFAP70	True	https://images.proteinatlas.org/37582/1440_D9_3_selected.jpg		1	False	
CHD3	False			0	False	
CHMP1A	True	https://images.proteinatlas.org/6776/8_C3_1_selected.jpg		1	False	
CHODL	True	https://images.proteinatlas.org/57559/1981_C2_2_selected.jpg		1	False	
CHPF	False			0	False	
CHST15	True	https://images.proteinatlas.org/17584/173_C4_1_selected.jpg		1	False	
CIB2	True	https://images.proteinatlas.org/36697/427_E4_3_selected.jpg		1	False	
CIP2A	False			0	False	
CKAP2	True	https://images.proteinatlas.org/8410/2265_B1_35_selected.jpg		1	False	
CKAP5	False			0	False	
CLEC11A	True	https://images.proteinatlas.org/42690/487_E9_2_selected.jpg		1	False	
CLHC1	True	https://images.proteinatlas.org/53557/819_H11_1_selected.jpg		1	False	
CLIC4	False			0	False	
CLRN1	False			0	False	
CLTC	False			0	False	
CNOT10	True	https://images.proteinatlas.org/41450/723_A2_2_selected.jpg		1	False	
CNTLN	True	https://images.proteinatlas.org/7201/1595_H11_3_selected.jpg		1	False	
CNTRL	True	https://images.proteinatlas.org/20468/2055_E1_4_selected.jpg		1	False	
CNTROB	True	https://images.proteinatlas.org/23321/194_A9_1_selected.jpg		1	False	
CPA4	True	https://images.proteinatlas.org/21030/246_C2_1_selected.jpg		1	False	
CPE	False			0	False	
CRACDL	True	https://images.proteinatlas.org/61678/1178_D4_2_selected.jpg		1	False	
CREB1	False			0	False	
CREB3	False			0	False	
CRIP1	False			0	False	
CRMP1	False			0	False	
CROCC	True	https://images.proteinatlas.org/21191/191_A8_1_selected.jpg		1	False	
CSPP1	True	https://images.proteinatlas.org/56174/1035_C2_1_selected.jpg		1	False	
CTNNBL1	True	https://images.proteinatlas.org/27906/1832_G6_2_selected.jpg		1	False	
CUEDC1	True	https://images.proteinatlas.org/24836/232_G8_1_selected.jpg		1	False	
CYB5B	True	https://images.proteinatlas.org/7893/20_C4_2_selected.jpg		1	False	
CYLD	False			0	False	
CYTH4	True	https://images.proteinatlas.org/4065/1926_D3_2_selected.jpg		1	False	
DAPK1	False			0	False	
DCAF13	True	https://images.proteinatlas.org/44504/987_F5_2_selected.jpg		1	False	
DCC	False			0	False	
DCDC2	False			0	False	
DCTN2	False			0	False	
DCTN4	True	https://images.proteinatlas.org/17532/952_C3_3_selected.jpg		1	False	
DDHD2	True	https://images.proteinatlas.org/23147/194_H6_1_selected.jpg		1	False	
DDX59	True	https://images.proteinatlas.org/47166/2186_D7_55_selected.jpg		1	False	
DDX60	False			0	False	
DENND1C	True	https://images.proteinatlas.org/42758/1825_B1_11_cr5afa870716d27_selected.jpg		1	False	
DHRS1	True	https://images.proteinatlas.org/599/39_A1_1_selected.jpg		1	False	
DHX35	True	https://images.proteinatlas.org/62700/1141_E7_1_selected.jpg		1	False	
DIS3L	True	https://images.proteinatlas.org/41805/418_A5_1_selected.jpg		1	False	
DLG4	False			0	False	
DMBT1	False			0	False	
DMRT2	False			0	False	
DNAH12	True	https://images.proteinatlas.org/37493/2199_C11_17_selected.jpg		1	False	
DNAH14	True	https://images.proteinatlas.org/28545/1741_A4_31_selected.jpg		1	False	
DNAH6	True	https://images.proteinatlas.org/36391/2147_C3_15_selected.jpg		1	False	
DNAJA4	True	https://images.proteinatlas.org/41790/859_E1_4_selected.jpg		1	False	
DNAJC28	True	https://images.proteinatlas.org/77153/1953_A12_2_selected.jpg		1	False	
DNAL1	True	https://images.proteinatlas.org/53129/2161_F8_8_selected.jpg		1	False	
DNAL4	True	https://images.proteinatlas.org/3647/22_C11_1_selected.jpg		1	False	
DPF2	True	https://images.proteinatlas.org/56786/919_B9_2_selected.jpg		1	False	
DRD4	False			0	False	
DUSP21	True	https://images.proteinatlas.org/59171/2212_B9_30_selected.jpg		1	False	
DVL3	False			0	False	
DYNC1H1	False			0	False	
DYNC1I2	True	https://images.proteinatlas.org/40619/2204_H11_3_selected.jpg		1	False	
DYNC1LI1	True	https://images.proteinatlas.org/35013/378_C5_2_selected.jpg		1	False	
DYNC1LI2	True	https://images.proteinatlas.org/49538/2199_F10_14_selected.jpg		1	False	
DYNC2I1	True	https://images.proteinatlas.org/20607/2075_F9_2_selected.jpg		1	False	
DYNC2I2	True	https://images.proteinatlas.org/40764/420_A8_1_selected.jpg		1	False	
DYRK1A	False			0	False	
DYSF	False			0	False	
DZIP1	True	https://images.proteinatlas.org/57272/2171_B9_120_selected.jpg		1	False	
E2F1	False			0	False	
EDRF1	True	https://images.proteinatlas.org/31820/372_F11_4_selected.jpg		1	False	
EEF1AKMT3	True	https://images.proteinatlas.org/45492/1806_A5_1_selected.jpg		1	False	
EID2	False			0	False	
ELP6	True	https://images.proteinatlas.org/64545/1202_E4_3_selected.jpg		1	False	
EMC6	True	https://images.proteinatlas.org/62681/1194_F10_4_selected.jpg		1	False	
EMSY	False			0	False	
ENGASE	False			0	False	
