gene	excel_sheets	has_any_report	has_scored_report	has_rejected_report	has_duplicate	duplicate_status	current_status	current_lines	current_chars	needs_new_evaluation	skip_reason
C1GALT1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CA13	Sheet1	False	False	False	False	OK	missing	0	0	True	
CABIN1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CACYBP	Sheet1	False	False	False	False	OK	missing	0	0	True	
CAD	研究很少	False	False	False	False	OK	missing	0	0	True	
CALCOCO1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CALCOCO2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CAMTA1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CAND1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CAPG	Sheet1	False	False	False	False	OK	missing	0	0	True	
CARM1	研究很少	False	False	False	False	OK	missing	0	0	True	
CASK	Sheet1	False	False	False	False	OK	missing	0	0	True	
CBFB	研究很少	False	False	False	False	OK	missing	0	0	True	
CBLB	Sheet1	False	False	False	False	OK	missing	0	0	True	
CBR1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CC2D1A	Sheet1	False	False	False	False	OK	missing	0	0	True	
CCAR2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CCDC171	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC175	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC18	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC181	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC183	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC27	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC34	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC69	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC7	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC71	研究很多	False	False	False	False	OK	missing	0	0	True	
CCDC74B	研究很多	False	False	False	False	OK	missing	0	0	True	
CCSER2	研究很多	False	False	False	False	OK	missing	0	0	True	
CD34	研究很少	False	False	False	False	OK	missing	0	0	True	
CD72	Sheet1	False	False	False	False	OK	missing	0	0	True	
CD83	研究很少	False	False	False	False	OK	missing	0	0	True	
CDA	研究很少	False	False	False	False	OK	missing	0	0	True	
CDR2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CDT1	研究很少	False	False	False	False	OK	missing	0	0	True	
CDX1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CDX2	研究很少	False	False	False	False	OK	missing	0	0	True	
CEBPA	研究很少	False	False	False	False	OK	missing	0	0	True	
CEBPB	研究很少	False	False	False	False	OK	missing	0	0	True	
CEBPD	Sheet1	False	False	False	False	OK	missing	0	0	True	
CEBPE	Sheet1	False	False	False	False	OK	missing	0	0	True	
CEMP1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CENPA	Sheet1	False	False	False	False	OK	missing	0	0	True	
CENPB	Sheet1	False	False	False	False	OK	missing	0	0	True	
CENPC	Sheet1	False	False	False	False	OK	missing	0	0	True	
CENPE	Sheet1	False	False	False	False	OK	missing	0	0	True	
CENPF	Sheet1	False	False	False	False	OK	missing	0	0	True	
CEP290	Sheet1	False	False	False	False	OK	missing	0	0	True	
CERS2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CETN2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CFL1	Sheet1	False	False	False	False	OK	missing	0	0	True	
CFL2	Sheet1	False	False	False	False	OK	missing	0	0	True	
CFLAR	Sheet1	False	False	False	False	OK	missing	0	0	True	
CGAS	研究很少	False	False	False	False	OK	missing	0	0	True	
CHEK2	研究很少	False	False	False	False	OK	missing	0	0	True	
CHM	Sheet1	False	False	False	False	OK	missing	0	0	True	
CHTF8	重新pa一下	False	False	False	False	OK	missing	0	0	True	
CHUK	Sheet1	False	False	False	False	OK	missing	0	0	True	
CIART	Sheet1	False	False	False	False	OK	missing	0	0	True	
