gene	is_new
ATXN7L2	false
ATXN7L3	false
ATXN7L3B	false
ATXN8	false
AUNIP	false
AUP1	false
AURKA	false
AURKAIP1	false
AURKB	false
AURKC	false
AUTS2	false
AVPI1	false
AXIN1	false
AXIN2	false
AZIN1	false
Ahcy	false
Alyref	false
Alyref2	false
Anp32a	false
B4GALNT4	false
B9D1	false
B9D2	false
BABAM1	false
BABAM2	false
BACC1	false
BACH1	false
BACH2	false
BAG1	false
BAG3	false
BAG5	false
BAG6	false
BAHCC1	false
BAHD1	false
BAMBI	false
BANF1	false
BANF2	false
BANK1	false
BANP	false
BAP1	false
BARD1	false
BARHL1	false
BARHL2	false
BARX1	false
BARX2	false
BATF	false
BATF2	false
BATF3	false
BBIP1	false
BBLN	false
BBOF1	false
BBS9	false
BBX	false
BCAR1	false
BCAS3	false
BCCIP	false
BCDIN3D	false
BCL10	false
BCL11B	false
BCL2L1	false
BCL3	false
BCL7A	false
BCL7B	false
BCL7C	false
BCL9	false
BCL9L	false
BCLAF1	false
BCLAF3	false
BCOR	false
BCORL1	false
BCR	false
BDP1	false
BEAN1	false
BECN1	false
BEGAIN	false
BEND2	false
BEND3	false
BEND4	false
BEND5	false
BEND6	false
BEND7	false
BET1L	false
BEX1	false
BEX2	false
BEX4	false
BHLHA15	false
BHLHA9	false
BHLHE22	false
BHLHE23	false
BHLHE40	false
BHLHE41	false
BHMT	false
BICD2	false
BICDL1	false
BICRA	false
BICRAL	false
BIRC2	false
BIRC3	false
BIRC5	false
BIRC7	false
BIVM	false
BKGD	false
BLCAP	false
BLM	false
BLMH	false
BLTP3A	false
BLTP3B	false
BLVRB	false
BLZF1	false
BMAL1	false
BMAL2	false
BMERB1	false
BMP2K	false
BMPR2	false
BMS1	false
BMX	false
BNIP2	false
BNIP3L	false
BOD1	false
BOD1L1	false
BOD1L2	false
BOLA2	false
BOLA2B	false
BOP1	false
BORA	false
BPGM	false
BPNT1	false
BPNT2	false
BPTF	false
BRAP	false
BRAT1	false
BRCA1	false
BRCA2	false
BRCC3	false
BRDT	false
BRF1	false
BRF2	false
BRI3	false
BRICD5	false
BRIP1	false
BRIX1	false
BRK1	false
BRME1	false
BRMS1	false
BRMS1L	false
BROX	false
BRPF1	false
BRPF3	false
BRSK1	false
BRWD1	false
BRWD3	false
BSPRY	false
BSX	false
BTAF1	false
BTBD1	false
BTBD10	false
BTBD16	false
BTBD18	false
BTBD3	false
BTBD6	false
BTBD7	false
BTBD8	false
BTBD9	false
BTF3	false
BTF3L4	false
BTG1	false
BTG2	false
BTNL9	false
BTRC	false
BUB1	false
BUB1B	false
BUB3	false
BUD13	false
BUD23	false
BUD31	false
BYSL	false
Bmi1	false
C10orf62	false
C10orf71	false
C10orf90	false
C11orf21	false
C11orf42	false
C11orf58	false
C11orf68	false
C11orf71	false
C11orf96	false
C12orf43	false
C12orf57	false
C12orf60	false
C14orf39	false
C15orf39	false
C15orf40	false
C16orf46	false
C16orf87	false
C17orf100	false
C17orf107	false
C17orf50	false
C18orf32	false
C19orf33	false
C19orf44	false
C19orf47	false
C19orf53	false
C19orf67	false
C19orf73	false
C19orf84	false
C1D	false
C1GALT1	false
C1orf146	false
C1orf159	false
C1orf162	false
C1orf174	false
C1orf21	false
C1orf216	false
C1orf226	false
C1orf35	false
C1orf52	false
C1orf94	false
C20orf173	false
C20orf194	false
C20orf202	false
C20orf96	false
C21orf58	false
C22orf15	false
C22orf23	false
C22orf31	false
C22orf39	false
C22orf42	false
C2CD2	false
C2CD2L	false
C2CD3	false
C2CD4A	false
C2CD4B	false
C2CD4C	false
C2CD4D	false
C2CD6	false
C2orf42	false
C2orf49	false
C2orf50	false
C2orf68	false
C2orf72	false
C2orf78	false
C2orf81	false
C3orf20	false
C3orf33	false
C3orf36	false
C3orf38	false
C3orf62	false
C3orf80	false
C4orf19	false
C4orf33	false
C4orf45	false
C4orf47	false
C4orf51	false
C4orf54	false
C5orf22	false
C5orf24	false
C5orf34	false
C5orf46	false
C5orf60	false
C5orf63	false
C6orf118	false
C6orf120	false
C6orf132	false
C6orf136	false
C6orf141	false
C6orf163	false
C6orf201	false
C6orf223	false
C6orf226	false
C6orf52	false
C6orf89	false
C7orf25	false
C8orf33	false
C8orf34	false
C8orf48	false
C8orf58	false
C8orf74	false
C8orf76	false
C8orf82	false
C9orf152	false
C9orf153	false
C9orf40	false
C9orf85	false
CA13	false
CABCOCO1	false
CABIN1	false
CABLES1	false
CABLES2	false
CABYR	false
CACHD1	false
CACNA1D	false
CACNA2D3	false
CACUL1	false
CACYBP	false
CAD	false
CADM4	false
CADPS2	false
CALCOCO1	false
CALCOCO2	false
CALML4	false
CALML6	false
CAMK1	false
CAMK1D	false
CAMK2N2	false
CAMK4	false
CAMKK1	false
CAMKK2	false
CAMKMT	false
CAMLG	false
CAMTA1	false
CAMTA2	false
CAND1	false
CAND2	false
CAPG	false
CAPN11	false
CAPNS2	false
CAPS2	false
CAPSL	false
CAPZB	false
CARD8	false
CARF	false
CARHSP1	false
CARM1	false
CARMIL2	false
CARMIL3	false
CARNMT1	false
CASC3	false
CASD1	false
CASK	false
CASKIN1	false
CBARP	false
CBFA2T2	false
CBFA2T3	false
CBFB	false
CBLB	false
CBLC	false
CBLL2	false
CBR1	false
CBR3	false
CBWD3	false
CBWD5	false
CBWD6	false
CBX3P9	false
CBX7	false
CBY1	false
CBY3	false
CC2D1A	false
CC2D1B	false
CC2D2B	false
CCAR1	false
CCAR2	false
CCDC102A	false
CCDC106	false
CCDC107	false
CCDC110	false
CCDC112	false
CCDC117	false
CCDC12	false
CCDC122	false
CCDC125	false
CCDC13	false
CCDC137	false
CCDC138	false
CCDC141	false
CCDC148	false
CCDC149	false
CCDC15	false
CCDC150	false
CCDC152	false
CCDC159	false
CCDC169	false
CCDC17	false
CCDC171	false
CCDC174	false
CCDC175	false
CCDC18	false
CCDC181	false
CCDC183	false
CCDC188	false
CCDC24	false
CCDC27	false
CCDC28A	false
CCDC34	false
CCDC39	false
CCDC59	false
CCDC61	false
CCDC62	false
CCDC63	false
CCDC69	false
CCDC7	false
CCDC71	false
CCDC74A	false
CCDC74B	false
CCDC77	false
CCDC8	false
CCDC81	false
CCDC82	false
CCDC83	false
CCDC85B	false
CCDC85C	false
CCDC86	false
CCDC87	false
CCDC88A	false
CCDC88B	false
CCDC89	false
CCDC9	false
CCDC90B	false
CCDC91	false
CCDC92	false
CCDC97	false
CCDC9B	false
CCER1	false
CCHCR1	false
CCNDBP1	false
CCNK	false
CCNQ	false
CCP110	false
CCSER2	false
CCT8	false
CD1E	false
CD2BP2	false
CD300C	false
CD34	false
CD72	false
CD83	false
CDA	false
CDADC1	false
CDAN1	false
CDC123	false
CDC14A	false
CDCA7	false
CDIN1	false
CDIP1	false
CDK2AP2	false
CDK5RAP2	false
CDKL3	false
CDKL4	false
