gene	status	category	score	nuclear_score	source_table_status	source_table_category	report_path	docs_report_path	category_page	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	duplicate_count	duplicate_type	is_primary_candidate	known_backlog_flags	parse_quality	parse_notes
CTPS1	scored	chromatin	2.5	28			detail/chromatin/CTPS1/CTPS1-evaluation.md	reports/CTPS1.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CUX2	scored	chromatin	2.5	28			detail/chromatin/CUX2/CUX2-evaluation.md	reports/CUX2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
CYREN	scored	chromatin	1.5	28			detail/chromatin/CYREN/CYREN-evaluation.md	reports/CYREN.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DBX1	scored	chromatin	1	32			detail/chromatin/DBX1/DBX1-evaluation.md	reports/DBX1.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMBX1	scored	chromatin	0.5	32			detail/chromatin/DMBX1/DMBX1-evaluation.md	reports/DMBX1.html	category/chromatin.html	167	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRT3	scored	chromatin	1	32			detail/chromatin/DMRT3/DMRT3-evaluation.md	reports/DMRT3.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTB1	scored	chromatin	1	32			detail/chromatin/DMRTB1/DMRTB1-evaluation.md	reports/DMRTB1.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTC2	scored	chromatin	0.5	32			detail/chromatin/DMRTC2/DMRTC2-evaluation.md	reports/DMRTC2.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJB13	scored	chromatin	1	16			detail/chromatin/DNAJB13/DNAJB13-evaluation.md	reports/DNAJB13.html	category/chromatin.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DPRX	scored	chromatin	0.5	32			detail/chromatin/DPRX/DPRX-evaluation.md	reports/DPRX.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DSN1	scored	chromatin	1	28			detail/chromatin/DSN1/DSN1-evaluation.md	reports/DSN1.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DYNC1I1	scored	chromatin	1.5	16			detail/chromatin/DYNC1I1/DYNC1I1-evaluation.md	reports/DYNC1I1.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DYNLT3	scored	chromatin	1.5	28			detail/chromatin/DYNLT3/DYNLT3-evaluation.md	reports/DYNLT3.html	category/chromatin.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
ELOF1	scored	chromatin	3	28			detail/chromatin/ELOF1/ELOF1-evaluation.md	reports/ELOF1.html	category/chromatin.html	188	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
EME2	scored	chromatin	2	32			detail/chromatin/EME2/EME2-evaluation.md	reports/EME2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
EXD2	scored	chromatin	3	28			detail/chromatin/EXD2/EXD2-evaluation.md	reports/EXD2.html	category/chromatin.html	196	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FAM131A	scored	chromatin	0.5	28			detail/chromatin/FAM131A/FAM131A-evaluation.md	reports/FAM131A.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FBH1	scored	chromatin	2	32			detail/chromatin/FBH1/FBH1-evaluation.md	reports/FBH1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FBXO18	scored	chromatin	2	32			detail/chromatin/FBXO18/FBXO18-evaluation.md	reports/FBXO18.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FERD3L	scored	chromatin	0.5	32			detail/chromatin/FERD3L/FERD3L-evaluation.md	reports/FERD3L.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FOXB2	scored	chromatin	0.5	32			detail/chromatin/FOXB2/FOXB2-evaluation.md	reports/FOXB2.html	category/chromatin.html	157	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
FOXI2	scored	chromatin	0.5	32			detail/chromatin/FOXI2/FOXI2-evaluation.md	reports/FOXI2.html	category/chromatin.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
GBX1	scored	chromatin	2.5	32			detail/chromatin/GBX1/GBX1-evaluation.md	reports/GBX1.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
GINS4	scored	chromatin	1.83	28			detail/chromatin/GINS4/GINS4-evaluation.md	reports/GINS4.html	category/chromatin.html	120	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
GSC2	scored	chromatin	1	32			detail/chromatin/GSC2/GSC2-evaluation.md	reports/GSC2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
H4C7	scored	chromatin	1.5	32			detail/chromatin/H4C7/H4C7-evaluation.md	reports/H4C7.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HES2	scored	chromatin	1	32			detail/chromatin/HES2/HES2-evaluation.md	reports/HES2.html	category/chromatin.html	160	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HMGB4	scored	chromatin	1.5	32			detail/chromatin/HMGB4/HMGB4-evaluation.md	reports/HMGB4.html	category/chromatin.html	172	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HP1BP3	rejected	chromatin	1.83	36			detail/chromatin/HP1BP3/HP1BP3-evaluation.md	reports/HP1BP3.html	category/chromatin.html	252	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
HPF1	scored	chromatin	3	28			detail/chromatin/HPF1/HPF1-evaluation.md	reports/HPF1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
IHO1	scored	chromatin	100	36			detail/chromatin/IHO1/IHO1-evaluation.md	reports/IHO1.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
JADE1	scored	chromatin	0	32			detail/chromatin/JADE1/JADE1-evaluation.md	reports/JADE1.html	category/chromatin.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
KNSTRN	scored	chromatin	1	28			detail/chromatin/KNSTRN/KNSTRN-evaluation.md	reports/KNSTRN.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
KNTC1	scored	chromatin	2	28			detail/chromatin/KNTC1/KNTC1-evaluation.md	reports/KNTC1.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
LRRN4	scored	chromatin	0.5	16			detail/chromatin/LRRN4/LRRN4-evaluation.md	reports/LRRN4.html	category/chromatin.html	167	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
LRWD1	scored	chromatin	100	9			detail/chromatin/LRWD1/LRWD1-evaluation.md	reports/LRWD1.html	category/chromatin.html	205	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
LUZP1	scored	chromatin	1	16			detail/chromatin/LUZP1/LUZP1-evaluation.md	reports/LUZP1.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
MACROH2A2	scored	chromatin	1	36			detail/chromatin/MACROH2A2/MACROH2A2-evaluation.md	reports/MACROH2A2.html	category/chromatin.html	194	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
MEIOB	scored	chromatin	1.5	28			detail/chromatin/MEIOB/MEIOB-evaluation.md	reports/MEIOB.html	category/chromatin.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
MESP2	scored	chromatin	1	32			detail/chromatin/MESP2/MESP2-evaluation.md	reports/MESP2.html	category/chromatin.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
MLXIPL	rejected	chromatin	2.5	7			detail/chromatin/MLXIPL/MLXIPL-evaluation.md	reports/MLXIPL__chromatin.html	category/chromatin.html	205	True	True	True	True	True	True	True	False	2	SCORED_REJECTED_CONFLICT	False	duplicate:SCORED_REJECTED_CONFLICT	GOOD	ok
MPHOSPH8	scored	chromatin	100	36			detail/chromatin/MPHOSPH8/MPHOSPH8-evaluation.md	reports/MPHOSPH8.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NAP1L1	scored	chromatin	3	28			detail/chromatin/NAP1L1/NAP1L1-evaluation.md	reports/NAP1L1.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NAP1L2	scored	chromatin	1.83	5			detail/chromatin/NAP1L2/NAP1L2-evaluation.md	reports/NAP1L2.html	category/chromatin.html	116	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NCAPD2	scored	chromatin	1.83	32			detail/chromatin/NCAPD2/NCAPD2-evaluation.md	reports/NCAPD2.html	category/chromatin.html	97	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NCBP2	scored	chromatin	2	2			detail/chromatin/NCBP2/NCBP2-evaluation.md	reports/NCBP2.html	category/chromatin.html	186	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NEUROD6	scored	chromatin	1	32			detail/chromatin/NEUROD6/NEUROD6-evaluation.md	reports/NEUROD6.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NFX1	scored	chromatin	1.5	1			detail/chromatin/NFX1/NFX1-evaluation.md	reports/NFX1.html	category/chromatin.html	190	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
NMD3	scored	chromatin	2	1			detail/chromatin/NMD3/NMD3-evaluation.md	reports/NMD3.html	category/chromatin.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PAXIP1	scored	chromatin	100	1			detail/chromatin/PAXIP1/PAXIP1-evaluation.md	reports/PAXIP1.html	category/chromatin.html	198	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PAXX	scored	chromatin	0	1			detail/chromatin/PAXX/PAXX-evaluation.md	reports/PAXX.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PBX4	scored	chromatin	1.5	28			detail/chromatin/PBX4/PBX4-evaluation.md	reports/PBX4.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PIDD1	scored	chromatin	0	16			detail/chromatin/PIDD1/PIDD1-evaluation.md	reports/PIDD1.html	category/chromatin.html	196	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PLRG1	scored	chromatin	100	1			detail/chromatin/PLRG1/PLRG1-evaluation.md	reports/PLRG1.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PMF1	scored	chromatin	0	1			detail/chromatin/PMF1/PMF1-evaluation.md	reports/PMF1.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
POU6F2	scored	chromatin	1	32			detail/chromatin/POU6F2/POU6F2-evaluation.md	reports/POU6F2.html	category/chromatin.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PPHLN1	scored	chromatin	100	1			detail/chromatin/PPHLN1/PPHLN1-evaluation.md	reports/PPHLN1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PRM3	scored	chromatin	1	28			detail/chromatin/PRM3/PRM3-evaluation.md	reports/PRM3.html	category/chromatin.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PROX2	scored	chromatin	1	28			detail/chromatin/PROX2/PROX2-evaluation.md	reports/PROX2.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PRR14	scored	chromatin	100	1			detail/chromatin/PRR14/PRR14-evaluation.md	reports/PRR14.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PRR7	scored	chromatin	100	16			detail/chromatin/PRR7/PRR7-evaluation.md	reports/PRR7.html	category/chromatin.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PRRC2A	scored	chromatin	98	1			detail/chromatin/PRRC2A/PRRC2A-evaluation.md	reports/PRRC2A.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PTBP3	scored	chromatin	84	16			detail/chromatin/PTBP3/PTBP3-evaluation.md	reports/PTBP3.html	category/chromatin.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PURB	scored	chromatin	100	1			detail/chromatin/PURB/PURB-evaluation.md	reports/PURB.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
PUS1	scored	chromatin	86	16			detail/chromatin/PUS1/PUS1-evaluation.md	reports/PUS1.html	category/chromatin.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
QRICH1	scored	chromatin	5	16			detail/chromatin/QRICH1/QRICH1-evaluation.md	reports/QRICH1.html	category/chromatin.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
QSER1	scored	chromatin	100	20			detail/chromatin/QSER1/QSER1-evaluation.md	reports/QSER1.html	category/chromatin.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
