gene	status	category	score	nuclear_score	source_table_status	source_table_category	report_path	docs_report_path	category_page	lines	has_hpa	has_if_image	has_pae	has_pdb	has_ppi	has_pubmed	has_scoring_table	has_manual_review	duplicate_count	duplicate_type	is_primary_candidate	known_backlog_flags	parse_quality	parse_notes
DCLK3	scored	nucleoplasm	1	28			detail/nucleoplasm/DCLK3/DCLK3-evaluation.md	reports/DCLK3.html	category/nucleoplasm.html	182	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCLRE1C	scored	nucleoplasm		7			detail/nucleoplasm/DCLRE1C/DCLRE1C-evaluation.md	reports/DCLRE1C.html	category/nucleoplasm.html	172	True	True	True	True	True	True	True	False	1	NONE	True	parse_quality:PARTIAL	PARTIAL	score_not_parsed
DCTD	scored	nucleoplasm	2	16			detail/nucleoplasm/DCTD/DCTD-evaluation.md	reports/DCTD.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCTN1	rejected	nucleoplasm	3	28			detail/nucleoplasm/DCTN1/DCTN1-evaluation.md	reports/DCTN1.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCTN4	scored	nucleoplasm	2	28			detail/nucleoplasm/DCTN4/DCTN4-evaluation.md	reports/DCTN4.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCTPP1	scored	nucleoplasm	2	28			detail/nucleoplasm/DCTPP1/DCTPP1-evaluation.md	reports/DCTPP1.html	category/nucleoplasm.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCUN1D1	scored	nucleoplasm	3	28			detail/nucleoplasm/DCUN1D1/DCUN1D1-evaluation.md	reports/DCUN1D1.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCUN1D2	scored	nucleoplasm	2	28			detail/nucleoplasm/DCUN1D2/DCUN1D2-evaluation.md	reports/DCUN1D2.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCUN1D3	scored	nucleoplasm	2	28			detail/nucleoplasm/DCUN1D3/DCUN1D3-evaluation.md	reports/DCUN1D3.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCUN1D4	scored	nucleoplasm	2	28			detail/nucleoplasm/DCUN1D4/DCUN1D4-evaluation.md	reports/DCUN1D4.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DCUN1D5	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DCUN1D5/DCUN1D5-evaluation.md	reports/DCUN1D5.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDA1	scored	nucleoplasm	2.5	32			detail/nucleoplasm/DDA1/DDA1-evaluation.md	reports/DDA1.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDAH1	rejected	nucleoplasm	3	16			detail/nucleoplasm/DDAH1/DDAH1-evaluation.md	reports/DDAH1.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDB2	rejected	nucleoplasm	3	36			detail/nucleoplasm/DDB2/DDB2-evaluation.md	reports/DDB2.html	category/nucleoplasm.html	189	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDI2	scored	nucleoplasm	3	28			detail/nucleoplasm/DDI2/DDI2-evaluation.md	reports/DDI2.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDIAS	scored	nucleoplasm	0.5	28			detail/nucleoplasm/DDIAS/DDIAS-evaluation.md	reports/DDIAS.html	category/nucleoplasm.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDIT3	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DDIT3/DDIT3-evaluation.md	reports/DDIT3.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDIT4L	scored	nucleoplasm	100	3			detail/nucleoplasm/DDIT4L/DDIT4L-evaluation.md	reports/DDIT4L.html	category/nucleoplasm.html	123	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDN	scored	nucleoplasm	1	28			detail/nucleoplasm/DDN/DDN-evaluation.md	reports/DDN.html	category/nucleoplasm.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDRGK1	scored	nucleoplasm	0.5	16			detail/nucleoplasm/DDRGK1/DDRGK1-evaluation.md	reports/DDRGK1.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDX19A	scored	nucleoplasm	1	28			detail/nucleoplasm/DDX19A/DDX19A-evaluation.md	reports/DDX19A.html	category/nucleoplasm.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDX3Y	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DDX3Y/DDX3Y-evaluation.md	reports/DDX3Y.html	category/nucleoplasm.html	185	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DDX55	scored	nucleoplasm		9			detail/nucleoplasm/DDX55/DDX55-evaluation.md	reports/DDX55.html	category/nucleoplasm.html	171	True	True	True	True	True	True	True	False	1	NONE	True	parse_quality:PARTIAL	PARTIAL	score_not_parsed
DEF6	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DEF6/DEF6-evaluation.md	reports/DEF6.html	category/nucleoplasm.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DEF8	scored	nucleoplasm	1	16			detail/nucleoplasm/DEF8/DEF8-evaluation.md	reports/DEF8.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DEGS2	scored	nucleoplasm	1	16			detail/nucleoplasm/DEGS2/DEGS2-evaluation.md	reports/DEGS2.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DELE1	scored	nucleoplasm	1	16			detail/nucleoplasm/DELE1/DELE1-evaluation.md	reports/DELE1.html	category/nucleoplasm.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DENND1C	scored	nucleoplasm	1	28			detail/nucleoplasm/DENND1C/DENND1C-evaluation.md	reports/DENND1C.html	category/nucleoplasm.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DENND2C	scored	nucleoplasm	1	32			detail/nucleoplasm/DENND2C/DENND2C-evaluation.md	reports/DENND2C.html	category/nucleoplasm.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DENND2D	scored	nucleoplasm	100	3			detail/nucleoplasm/DENND2D/DENND2D-evaluation.md	reports/DENND2D.html	category/nucleoplasm.html	123	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DENND4A	scored	nucleoplasm	1	28			detail/nucleoplasm/DENND4A/DENND4A-evaluation.md	reports/DENND4A.html	category/nucleoplasm.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DENND4B	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DENND4B/DENND4B-evaluation.md	reports/DENND4B.html	category/nucleoplasm.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DEPDC1	scored	nucleoplasm	2	1			detail/nucleoplasm/DEPDC1/DEPDC1-evaluation.md	reports/DEPDC1.html	category/nucleoplasm.html	171	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DEPDC1B	scored	nucleoplasm	1	16			detail/nucleoplasm/DEPDC1B/DEPDC1B-evaluation.md	reports/DEPDC1B.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DEPDC7	scored	nucleoplasm	1	28			detail/nucleoplasm/DEPDC7/DEPDC7-evaluation.md	reports/DEPDC7.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DEPTOR	rejected	nucleoplasm	3	16			detail/nucleoplasm/DEPTOR/DEPTOR-evaluation.md	reports/DEPTOR.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DERA	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DERA/DERA-evaluation.md	reports/DERA.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DESI1	scored	nucleoplasm	2	28			detail/nucleoplasm/DESI1/DESI1-evaluation.md	reports/DESI1.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DET1	scored	nucleoplasm	1	28			detail/nucleoplasm/DET1/DET1-evaluation.md	reports/DET1.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGAT1	rejected	nucleoplasm	3	16			detail/nucleoplasm/DGAT1/DGAT1-evaluation.md	reports/DGAT1.html	category/nucleoplasm.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGCR14	scored	nucleoplasm	2	36			detail/nucleoplasm/DGCR14/DGCR14-evaluation.md	reports/DGCR14.html	category/nucleoplasm.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGCR6	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DGCR6/DGCR6-evaluation.md	reports/DGCR6.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGCR6L	scored	nucleoplasm	1.5	32			detail/nucleoplasm/DGCR6L/DGCR6L-evaluation.md	reports/DGCR6L.html	category/nucleoplasm.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGCR8	rejected	nucleoplasm	2.5	28			detail/nucleoplasm/DGCR8/DGCR8-evaluation.md	reports/DGCR8.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGKA	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DGKA/DGKA-evaluation.md	reports/DGKA.html	category/nucleoplasm.html	161	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGKE	scored	nucleoplasm	1	28			detail/nucleoplasm/DGKE/DGKE-evaluation.md	reports/DGKE.html	category/nucleoplasm.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DGUOK	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DGUOK/DGUOK-evaluation.md	reports/DGUOK.html	category/nucleoplasm.html	163	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHDH	scored	nucleoplasm	0.5	28			detail/nucleoplasm/DHDH/DHDH-evaluation.md	reports/DHDH.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHPS	rejected	nucleoplasm	3	16			detail/nucleoplasm/DHPS/DHPS-evaluation.md	reports/DHPS.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHRS1	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DHRS1/DHRS1-evaluation.md	reports/DHRS1.html	category/nucleoplasm.html	155	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHRS12	scored	nucleoplasm	1	28			detail/nucleoplasm/DHRS12/DHRS12-evaluation.md	reports/DHRS12.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHRS3	scored	nucleoplasm	1	16			detail/nucleoplasm/DHRS3/DHRS3-evaluation.md	reports/DHRS3.html	category/nucleoplasm.html	166	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHRS7	scored	nucleoplasm	1	16			detail/nucleoplasm/DHRS7/DHRS7-evaluation.md	reports/DHRS7.html	category/nucleoplasm.html	156	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX16	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DHX16/DHX16-evaluation.md	reports/DHX16.html	category/nucleoplasm.html	189	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX34	scored	nucleoplasm	1	16			detail/nucleoplasm/DHX34/DHX34-evaluation.md	reports/DHX34.html	category/nucleoplasm.html	164	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX36	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DHX36/DHX36-evaluation.md	reports/DHX36.html	category/nucleoplasm.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX38	scored	nucleoplasm	1	32			detail/nucleoplasm/DHX38/DHX38-evaluation.md	reports/DHX38.html	category/nucleoplasm.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX40	scored	nucleoplasm	1	2			detail/nucleoplasm/DHX40/DHX40-evaluation.md	reports/DHX40.html	category/nucleoplasm.html	159	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX58	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DHX58/DHX58-evaluation.md	reports/DHX58.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DHX9	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DHX9/DHX9-evaluation.md	reports/DHX9.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIAPH3	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DIAPH3/DIAPH3-evaluation.md	reports/DIAPH3.html	category/nucleoplasm.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIDO1	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DIDO1/DIDO1-evaluation.md	reports/DIDO1.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIO2	rejected	nucleoplasm	0.5	16			detail/nucleoplasm/DIO2/DIO2-evaluation.md	reports/DIO2.html	category/nucleoplasm.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIP2A	scored	nucleoplasm	1	16			detail/nucleoplasm/DIP2A/DIP2A-evaluation.md	reports/DIP2A.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIP2C	scored	nucleoplasm	100	3			detail/nucleoplasm/DIP2C/DIP2C-evaluation.md	reports/DIP2C.html	category/nucleoplasm.html	123	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIPK1A	scored	nucleoplasm	1	16			detail/nucleoplasm/DIPK1A/DIPK1A-evaluation.md	reports/DIPK1A.html	category/nucleoplasm.html	164	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DIS3	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DIS3/DIS3-evaluation.md	reports/DIS3.html	category/nucleoplasm.html	186	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DISP2	scored	nucleoplasm	1	16			detail/nucleoplasm/DISP2/DISP2-evaluation.md	reports/DISP2.html	category/nucleoplasm.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DKC1	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DKC1/DKC1-evaluation.md	reports/DKC1.html	category/nucleoplasm.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLD	rejected	nucleoplasm	3	28			detail/nucleoplasm/DLD/DLD-evaluation.md	reports/DLD.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLG3	scored	nucleoplasm	3	16			detail/nucleoplasm/DLG3/DLG3-evaluation.md	reports/DLG3.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLG4	rejected	nucleoplasm	2.5	16			detail/nucleoplasm/DLG4/DLG4-evaluation.md	reports/DLG4.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLGAP4	scored	nucleoplasm	1	16			detail/nucleoplasm/DLGAP4/DLGAP4-evaluation.md	reports/DLGAP4.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLGAP5	rejected	nucleoplasm	2.5	28			detail/nucleoplasm/DLGAP5/DLGAP5-evaluation.md	reports/DLGAP5.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLK2	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DLK2/DLK2-evaluation.md	reports/DLK2.html	category/nucleoplasm.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLL3	rejected	nucleoplasm	1	16			detail/nucleoplasm/DLL3/DLL3-evaluation.md	reports/DLL3.html	category/nucleoplasm.html	178	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLST	rejected	nucleoplasm	2	28			detail/nucleoplasm/DLST/DLST-evaluation.md	reports/DLST.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLX1	rejected	nucleoplasm	1	28			detail/nucleoplasm/DLX1/DLX1-evaluation.md	reports/DLX1.html	category/nucleoplasm.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLX3	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DLX3/DLX3-evaluation.md	reports/DLX3.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLX4	scored	nucleoplasm	1	36			detail/nucleoplasm/DLX4/DLX4-evaluation.md	reports/DLX4.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DLX5	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DLX5/DLX5-evaluation.md	reports/DLX5.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMAC2L	scored	nucleoplasm	1	16			detail/nucleoplasm/DMAC2L/DMAC2L-evaluation.md	reports/DMAC2L.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMAP1	scored	nucleoplasm	3	28			detail/nucleoplasm/DMAP1/DMAP1-evaluation.md	reports/DMAP1.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMC1	rejected	nucleoplasm	1	16			detail/nucleoplasm/DMC1/DMC1-evaluation.md	reports/DMC1.html	category/nucleoplasm.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRT1	rejected	nucleoplasm	1.5	28			detail/nucleoplasm/DMRT1/DMRT1-evaluation.md	reports/DMRT1.html	category/nucleoplasm.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRT2	scored	nucleoplasm	1	36			detail/nucleoplasm/DMRT2/DMRT2-evaluation.md	reports/DMRT2.html	category/nucleoplasm.html	170	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTA1	scored	nucleoplasm	1	1			detail/nucleoplasm/DMRTA1/DMRTA1-evaluation.md	reports/DMRTA1.html	category/nucleoplasm.html	163	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTA2	scored	nucleoplasm	1	1			detail/nucleoplasm/DMRTA2/DMRTA2-evaluation.md	reports/DMRTA2.html	category/nucleoplasm.html	160	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTC1	scored	nucleoplasm	0.5	32			detail/nucleoplasm/DMRTC1/DMRTC1-evaluation.md	reports/DMRTC1.html	category/nucleoplasm.html	161	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMRTC1B	scored	nucleoplasm	0.5	32			detail/nucleoplasm/DMRTC1B/DMRTC1B-evaluation.md	reports/DMRTC1B.html	category/nucleoplasm.html	158	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMTF1	scored	nucleoplasm	1	32			detail/nucleoplasm/DMTF1/DMTF1-evaluation.md	reports/DMTF1.html	category/nucleoplasm.html	172	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMTN	scored	nucleoplasm	1	28			detail/nucleoplasm/DMTN/DMTN-evaluation.md	reports/DMTN.html	category/nucleoplasm.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DMWD	scored	nucleoplasm	1	28			detail/nucleoplasm/DMWD/DMWD-evaluation.md	reports/DMWD.html	category/nucleoplasm.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAAF4	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DNAAF4/DNAAF4-evaluation.md	reports/DNAAF4.html	category/nucleoplasm.html	184	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAAF6	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DNAAF6/DNAAF6-evaluation.md	reports/DNAAF6.html	category/nucleoplasm.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJA1	rejected	nucleoplasm	2.5	28			detail/nucleoplasm/DNAJA1/DNAJA1-evaluation.md	reports/DNAJA1.html	category/nucleoplasm.html	182	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJA2	scored	nucleoplasm	1	16			detail/nucleoplasm/DNAJA2/DNAJA2-evaluation.md	reports/DNAJA2.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJB1	rejected	nucleoplasm	1	28			detail/nucleoplasm/DNAJB1/DNAJB1-evaluation.md	reports/DNAJB1.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJB11	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DNAJB11/DNAJB11-evaluation.md	reports/DNAJB11.html	category/nucleoplasm.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJB5	scored	nucleoplasm	0.5	28			detail/nucleoplasm/DNAJB5/DNAJB5-evaluation.md	reports/DNAJB5.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJB6	rejected	nucleoplasm	0	20			detail/nucleoplasm/DNAJB6/DNAJB6-evaluation.md	reports/DNAJB6.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC17	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DNAJC17/DNAJC17-evaluation.md	reports/DNAJC17.html	category/nucleoplasm.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC25	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DNAJC25/DNAJC25-evaluation.md	reports/DNAJC25.html	category/nucleoplasm.html	187	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC27	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DNAJC27/DNAJC27-evaluation.md	reports/DNAJC27.html	category/nucleoplasm.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC5	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DNAJC5/DNAJC5-evaluation.md	reports/DNAJC5.html	category/nucleoplasm.html	177	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC6	scored	nucleoplasm	0.5	16			detail/nucleoplasm/DNAJC6/DNAJC6-evaluation.md	reports/DNAJC6.html	category/nucleoplasm.html	173	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC7	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DNAJC7/DNAJC7-evaluation.md	reports/DNAJC7.html	category/nucleoplasm.html	183	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC8	scored	nucleoplasm	2	8			detail/nucleoplasm/DNAJC8/DNAJC8-evaluation.md	reports/DNAJC8.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAJC9	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DNAJC9/DNAJC9-evaluation.md	reports/DNAJC9.html	category/nucleoplasm.html	174	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNAL1	scored	nucleoplasm	2	16			detail/nucleoplasm/DNAL1/DNAL1-evaluation.md	reports/DNAL1.html	category/nucleoplasm.html	175	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNLZ	scored	nucleoplasm	1	16			detail/nucleoplasm/DNLZ/DNLZ-evaluation.md	reports/DNLZ.html	category/nucleoplasm.html	167	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNTT	scored	nucleoplasm	1	28			detail/nucleoplasm/DNTT/DNTT-evaluation.md	reports/DNTT.html	category/nucleoplasm.html	167	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DNTTIP1	scored	nucleoplasm	2.5	1			detail/nucleoplasm/DNTTIP1/DNTTIP1-evaluation.md	reports/DNTTIP1.html	category/nucleoplasm.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOC2A	scored	nucleoplasm	2	16			detail/nucleoplasm/DOC2A/DOC2A-evaluation.md	reports/DOC2A.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOCK1	scored	nucleoplasm	0	16			detail/nucleoplasm/DOCK1/DOCK1-evaluation.md	reports/DOCK1.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOCK10	scored	nucleoplasm	3	28			detail/nucleoplasm/DOCK10/DOCK10-evaluation.md	reports/DOCK10.html	category/nucleoplasm.html	187	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOHH	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DOHH/DOHH-evaluation.md	reports/DOHH.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOLK	scored	nucleoplasm	1	16			detail/nucleoplasm/DOLK/DOLK-evaluation.md	reports/DOLK.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DONSON	scored	nucleoplasm	0	28			detail/nucleoplasm/DONSON/DONSON-evaluation.md	reports/DONSON.html	category/nucleoplasm.html	163	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOP1A	scored	nucleoplasm	1	16			detail/nucleoplasm/DOP1A/DOP1A-evaluation.md	reports/DOP1A.html	category/nucleoplasm.html	179	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOP1B	scored	nucleoplasm	1.5	16			detail/nucleoplasm/DOP1B/DOP1B-evaluation.md	reports/DOP1B.html	category/nucleoplasm.html	182	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DOT1L	rejected	nucleoplasm	2.5	28			detail/nucleoplasm/DOT1L/DOT1L-evaluation.md	reports/DOT1L.html	category/nucleoplasm.html	181	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DPCD	scored	nucleoplasm	1	28			detail/nucleoplasm/DPCD/DPCD-evaluation.md	reports/DPCD.html	category/nucleoplasm.html	169	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DPH1	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DPH1/DPH1-evaluation.md	reports/DPH1.html	category/nucleoplasm.html	180	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DPH3	scored	nucleoplasm	1.5	28			detail/nucleoplasm/DPH3/DPH3-evaluation.md	reports/DPH3.html	category/nucleoplasm.html	176	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
DPH6	scored	nucleoplasm	1	16			detail/nucleoplasm/DPH6/DPH6-evaluation.md	reports/DPH6.html	category/nucleoplasm.html	168	True	True	True	True	True	True	True	False	1	NONE	True		GOOD	ok
