gene	category	status	lines	risk	modified_today	issues	issue_count
C1orf159	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
C1orf162	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
C1orf216	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
C2CD2L	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CACHD1	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_PLDDT; NO_REASON; NO_HPA	7
CACNA2D3	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CALML4	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CAPSL	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CBARP	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CBY3	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CCDC15	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CCDC17	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CCDC28A	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CCDC63	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CCDC81	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CCDC87	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CEACAM19	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CERCAM	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON	5
CLXN	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
CRPPA	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
LRRC10	rejected	rejected	12	CRITICAL	True	SHORT(12lines); NO_UNIPROT; NO_PUBMED; NO_PLDDT; NO_HPA	5
ATG4C	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NUKE_0_10; NO_REASON; NO_HPA	4
BBIP1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
BBOF1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NUKE_0_10; NO_REASON; NO_HPA	4
BEND7	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
BICDL1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
BLTP3A	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
BMERB1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NUKE_0_10; NO_UNIPROT; NO_REASON; NO_HPA	6
