gene	cat	status	length	priority	issues_count	issues
MAFK	rejected	rejected	566	OK	0	OK
MAGEA1	rejected	rejected	560	OK	0	OK
MAGEA4	rejected	rejected	560	OK	0	OK
MAGEL2	rejected	rejected	561	OK	0	OK
MAGI1	rejected	rejected	605	OK	0	OK
MAML1	rejected	rejected	583	OK	0	OK
MAML2	rejected	rejected	583	OK	0	OK
MAML3	rejected	rejected	583	OK	0	OK
MARCKS	rejected	rejected	592	OK	0	OK
MARS1	rejected	rejected	564	OK	0	OK
MAT1A	rejected	rejected	570	OK	0	OK
MAT2A	rejected	rejected	570	OK	0	OK
MDC1	rejected	rejected	887	OK	0	OK
MEF2A	rejected	rejected	563	OK	0	OK
MEFV	rejected	rejected	573	OK	0	OK
MKI67	rejected	rejected	569	OK	0	OK
MKNK1	rejected	rejected	891	OK	0	OK
MLLT10	rejected	rejected	594	OK	0	OK
MLST8	rejected	rejected	573	OK	0	OK
MLX	rejected	rejected	561	OK	0	OK
MMACHC	rejected	rejected	575	OK	0	OK
MNDA	rejected	rejected	579	OK	0	OK
MNX1	rejected	rejected	571	OK	0	OK
MPG	rejected	rejected	563	OK	0	OK
MRO	rejected	rejected	540	OK	0	OK
MRTFA	rejected	rejected	577	OK	0	OK
MSRA	rejected	rejected	567	OK	0	OK
MSX2	rejected	rejected	549	OK	0	OK
MT1E	rejected	rejected	552	OK	0	OK
MTA1	rejected	rejected	887	OK	0	OK
MTAP	rejected	rejected	568	OK	0	OK
MTF1	rejected	rejected	574	OK	0	OK
MTRR	rejected	rejected	600	OK	0	OK
MUS81	rejected	rejected	582	OK	0	OK
MUTYH	rejected	rejected	557	OK	0	OK
MX2	rejected	rejected	557	OK	0	OK
MXD1	rejected	rejected	561	OK	0	OK
MXI1	rejected	rejected	572	OK	0	OK
MYBL1	rejected	rejected	562	OK	0	OK
MYCL	rejected	rejected	580	OK	0	OK
MYOG	rejected	rejected	545	OK	0	OK
MYRF	rejected	rejected	560	OK	0	OK
Meis3	rejected	rejected	859	MED	1	REJ_NO_CLEAR_REASON
Msx3	rejected	rejected	855	MED	1	REJ_NO_CLEAR_REASON
NAA10	rejected	rejected	849	MED	1	REJ_NO_CLEAR_REASON
NAB2	rejected	rejected	790	MED	1	REJ_NO_CLEAR_REASON
NACA	rejected	rejected	850	MED	1	REJ_NO_CLEAR_REASON
NANOGNB	rejected	rejected	743	MED	1	REJ_NO_CLEAR_REASON
NANS	rejected	rejected	766	MED	1	REJ_NO_CLEAR_REASON
NASP	rejected	rejected	828	MED	1	REJ_NO_CLEAR_REASON
NBAS	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
NBR1	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
NCBP1	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
NCOA1	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
NCOA3	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
NCOA4	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
NDC80	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
NDE1	rejected	rejected	774	MED	1	REJ_NO_CLEAR_REASON
NDN	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
NDRG2	rejected	rejected	797	MED	1	REJ_NO_CLEAR_REASON
NEDD4	rejected	rejected	891	OK	0	OK
NEDD8	rejected	rejected	891	OK	0	OK
NEDD9	rejected	rejected	878	MED	1	REJ_NO_CLEAR_REASON
NEFH	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
NEFL	rejected	rejected	767	MED	1	REJ_NO_CLEAR_REASON
NEIL1	rejected	rejected	808	MED	1	REJ_NO_CLEAR_REASON
NEIL2	rejected	rejected	789	MED	1	REJ_NO_CLEAR_REASON
NEIL3	rejected	rejected	788	MED	1	REJ_NO_CLEAR_REASON
NEK2	rejected	rejected	887	OK	0	OK
NEK7	rejected	rejected	887	OK	0	OK
NET1	rejected	rejected	816	MED	1	REJ_NO_CLEAR_REASON
NEUROD2	rejected	rejected	803	MED	1	REJ_NO_CLEAR_REASON
NFATC2	rejected	rejected	861	MED	1	REJ_NO_CLEAR_REASON
NFATC3	rejected	rejected	858	MED	1	REJ_NO_CLEAR_REASON
NFATC4	rejected	rejected	857	MED	1	REJ_NO_CLEAR_REASON
NFE2	rejected	rejected	810	MED	1	REJ_NO_CLEAR_REASON
NFE2L1	rejected	rejected	828	MED	1	REJ_NO_CLEAR_REASON
NFIC	rejected	rejected	777	MED	1	REJ_NO_CLEAR_REASON
NFIL3	rejected	rejected	824	MED	1	REJ_NO_CLEAR_REASON
NFIX	rejected	rejected	776	MED	1	REJ_NO_CLEAR_REASON
NFKBIA	rejected	rejected	852	MED	1	REJ_NO_CLEAR_REASON
NFS1	rejected	rejected	763	MED	1	REJ_NO_CLEAR_REASON
NFYA	rejected	rejected	821	MED	1	REJ_NO_CLEAR_REASON
NFYB	rejected	rejected	819	MED	1	REJ_NO_CLEAR_REASON
NFYC	rejected	rejected	820	MED	1	REJ_NO_CLEAR_REASON
NHLH1	rejected	rejected	797	MED	1	REJ_NO_CLEAR_REASON
NIN	rejected	rejected	742	MED	1	REJ_NO_CLEAR_REASON
NME2	rejected	rejected	772	MED	1	REJ_NO_CLEAR_REASON
NMI	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
NMNAT1	rejected	rejected	789	MED	1	REJ_NO_CLEAR_REASON
NOBOX	rejected	rejected	764	MED	1	REJ_NO_CLEAR_REASON
NOCT	rejected	rejected	748	MED	1	REJ_NO_CLEAR_REASON
NOTO	rejected	rejected	755	MED	1	REJ_NO_CLEAR_REASON
NPAS2	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
NPAS4	rejected	rejected	770	MED	1	REJ_NO_CLEAR_REASON
NPAT	rejected	rejected	827	MED	1	REJ_NO_CLEAR_REASON
NRIP1	rejected	rejected	780	MED	1	REJ_NO_CLEAR_REASON
NRK	rejected	rejected	755	MED	1	REJ_NO_CLEAR_REASON
NRM	rejected	rejected	789	MED	1	REJ_NO_CLEAR_REASON
