gene	cat	status	length	priority	issues_count	issues
SOX7	rejected	rejected	807	MED	1	REJ_NO_CLEAR_REASON
SOX8	rejected	rejected	806	MED	1	REJ_NO_CLEAR_REASON
SP100	rejected	rejected	762	MED	1	REJ_NO_CLEAR_REASON
SP110	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
SP5	rejected	rejected	797	MED	1	REJ_NO_CLEAR_REASON
SP6	rejected	rejected	797	MED	1	REJ_NO_CLEAR_REASON
SP9	rejected	rejected	796	MED	1	REJ_NO_CLEAR_REASON
SPAG4	rejected	rejected	744	MED	1	REJ_NO_CLEAR_REASON
SPAG5	rejected	rejected	773	MED	1	REJ_NO_CLEAR_REASON
SPAST	rejected	rejected	749	MED	1	REJ_NO_CLEAR_REASON
SPDEF	rejected	rejected	852	MED	1	REJ_NO_CLEAR_REASON
SPDL1	rejected	rejected	781	MED	1	REJ_NO_CLEAR_REASON
SPEG	rejected	rejected	799	MED	1	REJ_NO_CLEAR_REASON
SPHK2	rejected	rejected	761	MED	1	REJ_NO_CLEAR_REASON
SPIC	rejected	rejected	813	MED	1	REJ_NO_CLEAR_REASON
