gene	category	status	lines	is_thin	is_one_liner	has_packet_error	has_template	risk	missing_fields	issues
SPATA17	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
NSMAF	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SSX7	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
HUS1B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM90A22	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
RWDD1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
GMFB	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
MAGEA9B	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM234A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BARX1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CCSER2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CHUK	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM90A13	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
GVQW3	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TEX261	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CNBD2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TBC1D12	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CRKL	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DLX6	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
DNAL1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
SAXO4	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CLDND2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
FAM90A14	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TLCD4	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CC2D1A	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BIRC5	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
RIBC1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
LRRC2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CREB3L1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
CUL5	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BIRC2	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
WDR88	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
TYSND1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
EFCAB5	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
BECN1	rejected	rejected	11	True	False	False	False	CRITICAL	HPA,AlphaFold/pLDDT,PDB,PPI	THIN,THIN_REJECTED
