gene	file_count	paths	categories
NUBP1	2	detail/rejected/NUBP1/NUBP1-evaluation.md, detail/nucleoplasm/NUBP1/NUBP1-evaluation.md	rejected, nucleoplasm
NUFIP1	2	detail/rejected/NUFIP1/NUFIP1-evaluation.md, detail/nuclear-speckle/NUFIP1/NUFIP1-evaluation.md	rejected, nuclear-speckle
NUFIP2	2	detail/nucleus-cytoplasm/NUFIP2/NUFIP2-evaluation.md, detail/rejected/NUFIP2/NUFIP2-evaluation.md	nucleus-cytoplasm, rejected
NVL	2	detail/rejected/NVL/NVL-evaluation.md, detail/nucleolus/NVL/NVL-evaluation.md	rejected, nucleolus
RCBTB1	2	detail/rejected/RCBTB1/RCBTB1-evaluation.md, detail/nucleoplasm/RCBTB1/RCBTB1-evaluation.md	rejected, nucleoplasm
RCL1	2	detail/nucleolus/RCL1/RCL1-evaluation.md, detail/nucleoplasm/RCL1/RCL1-evaluation.md	nucleolus, nucleoplasm
RPRD1A	2	detail/rejected/RPRD1A/RPRD1A-evaluation.md, detail/nucleoplasm/RPRD1A/RPRD1A-evaluation.md	rejected, nucleoplasm
SAAL1	2	detail/rejected/SAAL1/SAAL1-evaluation.md, detail/nucleoplasm/SAAL1/SAAL1-evaluation.md	rejected, nucleoplasm
SAMD11	2	detail/rejected/SAMD11/SAMD11-evaluation.md, detail/nucleoplasm/SAMD11/SAMD11-evaluation.md	rejected, nucleoplasm
SBF1	2	detail/rejected/SBF1/SBF1-evaluation.md, detail/nucleoplasm/SBF1/SBF1-evaluation.md	rejected, nucleoplasm
SBF2	2	detail/rejected/SBF2/SBF2-evaluation.md, detail/nucleoplasm/SBF2/SBF2-evaluation.md	rejected, nucleoplasm
SBNO1	2	detail/rejected/SBNO1/SBNO1-evaluation.md, detail/nucleoplasm/SBNO1/SBNO1-evaluation.md	rejected, nucleoplasm
SC5D	2	detail/rejected/SC5D/SC5D-evaluation.md, detail/nucleoplasm/SC5D/SC5D-evaluation.md	rejected, nucleoplasm
SCEL	2	detail/rejected/SCEL/SCEL-evaluation.md, detail/nucleoplasm/SCEL/SCEL-evaluation.md	rejected, nucleoplasm
SCFD2	2	detail/rejected/SCFD2/SCFD2-evaluation.md, detail/nucleoplasm/SCFD2/SCFD2-evaluation.md	rejected, nucleoplasm
SCHIP1	2	detail/rejected/SCHIP1/SCHIP1-evaluation.md, detail/nucleoplasm/SCHIP1/SCHIP1-evaluation.md	rejected, nucleoplasm
SCRN2	2	detail/rejected/SCRN2/SCRN2-evaluation.md, detail/nucleoplasm/SCRN2/SCRN2-evaluation.md	rejected, nucleoplasm
SDCBP2	2	detail/rejected/SDCBP2/SDCBP2-evaluation.md, detail/nucleoplasm/SDCBP2/SDCBP2-evaluation.md	rejected, nucleoplasm
SEH1L	2	detail/rejected/SEH1L/SEH1L-evaluation.md, detail/nucleoplasm/SEH1L/SEH1L-evaluation.md	rejected, nucleoplasm
SELENOH	2	detail/rejected/SELENOH/SELENOH-evaluation.md, detail/nucleoplasm/SELENOH/SELENOH-evaluation.md	rejected, nucleoplasm
SELENOM	2	detail/rejected/SELENOM/SELENOM-evaluation.md, detail/nucleoplasm/SELENOM/SELENOM-evaluation.md	rejected, nucleoplasm
SENP5	2	detail/rejected/SENP5/SENP5-evaluation.md, detail/nucleoplasm/SENP5/SENP5-evaluation.md	rejected, nucleoplasm
SENP7	2	detail/rejected/SENP7/SENP7-evaluation.md, detail/nucleoplasm/SENP7/SENP7-evaluation.md	rejected, nucleoplasm
